userid,count,isExpert
2bf0b2caeede3,8,Expert
49eaabd33a20a,13,Expert
4a83d2a70ed38,25,Expert
5e09a989f3a0e8,39,Expert
66d235530e05e,33,Expert
79262589165e6,2,Expert
8a832fac71fbc,27,Expert
92541790deac9,29,Expert
99e22b182c01d,20,Expert
e22b6a3fc3f23,12,Expert
04a419bf11412,24,Non-Expert
0c215e7cea7f38,11,Non-Expert
16f7882aa59908,19,Non-Expert
29152f1697ff68,28,Non-Expert
32993a5b624ce,16,Non-Expert
3be8366dd8f36,5,Non-Expert
4b4fd1df20701,14,Non-Expert
4c551d03385cc8,4,Non-Expert
5659c176d639c,10,Non-Expert
63b60facbb9fa,33,Non-Expert
6b030d6c6269e,19,Non-Expert
71758b148f361,16,Non-Expert
8000b24933e6f,38,Non-Expert
8791745ecfd4,18,Non-Expert
9bb8d10b5efac8,13,Non-Expert
a6be8c17c479a,1,Non-Expert
ac47e32ad27e18,17,Non-Expert
b267c008f5ece,15,Non-Expert
df3aaac2c129,8,Non-Expert
e6c309da2bc4f,11,Non-Expert
e94cf9edf908f,14,Non-Expert
eb5cdf7ca9b5,30,Non-Expert
f00db05d7655b,87,Non-Expert
f04e4b0696f26,9,Non-Expert
