Question,Completely_disagree,Disagree,Somewhat_disagree,Neutral,Somewhat_agree,Agree,Completely_agree
1,0.0,0.0,0.0,0.0,0.17,0.67,0.17
2,0.17,0.5,0.17,0.0,0.17,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.17,0.0,0.33,0.5
7,0.0,0.17,0.0,0.33,0.17,0.17,0.17
8,0.0,0.5,0.0,0.0,0.17,0.17,0.17
9,0.0,0.0,0.0,0.0,0.0,0.5,0.5
10,0.0,0.0,0.0,0.0,0.0,0.33,0.67
11,0.0,0.0,0.0,0.0,0.17,0.67,0.17
12,0.0,0.0,0.0,0.0,0.33,0.5,0.17
13,0.0,0.5,0.0,0.0,0.17,0.17,0.17
14,0.5,0.17,0.0,0.0,0.17,0.17,0.0
